Account,Date,total_trades,net_volume,gross_volume,total_pnl,wins,losses,max_drawdown,num_trades,win_rate,timestamp,value,classification,date,sharpe_ratio,signal
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-05,25,-37.7596,72.3984,1147.595856,11,0,0.0,25,1.0,1725514200,29,Fear,2024-09-05,0.5067156240037939,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-06,5,5.6677,5.6677,0.0,0,0,0.0,5,0.0,1725600600,22,Extreme Fear,2024-09-06,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-08,12,-34.2178,49.7774,11147.900554,9,0,0.0,12,1.0,1725773400,29,Fear,2024-09-08,2.2832171050840913,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-10,14,1.6255,3.5594,396.06272,3,0,0.0,14,1.0,1725946200,33,Fear,2024-09-10,0.08190459981916523,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-11,9,1.9708999999999999,1.9708999999999999,0.0,0,0,0.0,9,0.0,1726032600,37,Fear,2024-09-11,0.0,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-12,17,0.80484,3.6033,2350.499742,7,0,0.0,17,1.0,1726119000,31,Fear,2024-09-12,0.4918639644912299,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-04,41,95.4881,102.5007,5207.443414,36,0,0.0,41,1.0,1728019800,41,Fear,2024-10-04,1.135692976654974,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-05,22,31.6109,53.3457,2101.741695,6,0,0.0,22,1.0,1728106200,49,Neutral,2024-10-05,1.0197077939548962,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-06,4,6.5419,6.5419,0.0,0,0,0.0,4,0.0,1728192600,50,Neutral,2024-10-06,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-07,43,-176.0333,214.2043,11595.627026,33,0,0.0,43,1.0,1728279000,50,Neutral,2024-10-07,2.574256154325028,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-10,16,5.04899,5.04899,0.0,0,0,0.0,16,0.0,1728538200,39,Fear,2024-10-10,0.0,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-11,8,-1.59389,2.3479099999999997,548.36595,6,0,0.0,8,1.0,1728624600,32,Fear,2024-10-11,0.11045555706679626,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-12,36,1.0557699999999999,7.25317,3986.312514,12,0,0.0,36,1.0,1728711000,49,Neutral,2024-10-12,0.8028513033311996,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-04,16,7.8969000000000005,21.5697,389.743164,2,0,0.0,16,1.0,1730698200,70,Greed,2024-11-04,0.07946521288122996,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-05,9,-21.6418,21.6418,251.604742,9,0,0.090771,9,1.0,1730784600,70,Greed,2024-11-05,0.151391033407763,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-06,21,78.5899,78.5899,0.0,0,0,0.0,21,0.0,1730871000,70,Greed,2024-11-06,0.0,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-07,19,0.1189,53.826499999999996,1876.812082,9,0,0.0,19,1.0,1730957400,77,Extreme Greed,2024-11-07,1.1232817108743962,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-08,8,-15.2465,15.2465,847.7766200000001,4,0,0.0,8,1.0,1731043800,75,Extreme Greed,2024-11-08,1.1456316267114515,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-10,25,-7.9568200000000004,7.9568200000000004,8885.327477,18,0,0.0,25,1.0,1731216600,78,Extreme Greed,2024-11-10,2.393707279571016,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-11,20,-0.37701000000000007,4.15413,1479.677222,9,0,0.0,20,1.0,1731303000,76,Extreme Greed,2024-11-11,0.41393764339594313,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-12,30,-4.27869,7.1687899999999996,1083.777057,8,0,0.0,30,1.0,1731389400,80,Extreme Greed,2024-11-12,0.31828568247326006,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-04,21,44.4583,44.4583,0.0,0,0,0.0,21,0.0,1733290200,78,Extreme Greed,2024-12-04,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-05,10,15.3906,15.3906,0.0,0,0,0.0,10,0.0,1733376600,84,Extreme Greed,2024-12-05,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-07,10,24.7182,24.7182,0.0,0,0,0.0,10,0.0,1733549400,75,Extreme Greed,2024-12-07,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-08,16,17.2166,17.2166,858.6705000000001,6,0,0.0,16,1.0,1733635800,79,Extreme Greed,2024-12-08,1.5963926112935185,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-10,10,0.96105,2.54599,541.55471,7,0,0.0,10,1.0,1733808600,78,Extreme Greed,2024-12-10,1.3555075682030537,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-11,74,4.1413899999999995,82.89993,2053.119744,12,0,0.0,74,1.0,1733895000,74,Greed,2024-12-11,2.427739724092297,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-12-12,31,-3.72811,3.72811,0.0,0,0,0.0,31,0.0,1733981400,83,Extreme Greed,2024-12-12,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-01-01,1,0.53412,0.53412,0.0,0,0,0.0,1,0.0,1735709400,66,Greed,2025-01-01,0.0,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-01-02,4,0.88321,0.88321,0.0,0,0,0.0,4,0.0,1735795800,70,Greed,2025-01-02,0.0,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-01-04,20,-0.23952,1.69068,1402.082488,8,0,0.0,20,1.0,1735968600,73,Greed,2025-01-04,1.4397473659315159,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-01-05,14,-0.5317099999999999,2.12295,1220.746604,7,3,-0.24338,14,0.7,1736055000,72,Greed,2025-01-05,1.6927850571210181,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-01,19,-0.55915,3.89425,2399.9471460000004,8,0,0.0,19,1.0,1738387800,68,Greed,2025-02-01,2.3504767330327474,Sell
